OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTArea,ShapeSTLength
23107,35180442,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.10,0804.10,35180071,421823.879111205,2785.20242946119
23108,35180187,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,344332.1088566,3318.90698437878
23109,35180188,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,28212.99510815,787.215843657475
23110,35180189,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,81873.44622639,1144.47900790804
23111,35180190,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,152571.43360438,1564.71013728801
23112,35180191,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320011.00,0011.00,35182005,99905.072765535,1288.05628415717
23113,35180192,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320011.00,0011.00,35182005,206321.698552065,2422.04256421974
23114,35180193,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,138963.48982244,2079.29286561016
23115,35180194,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,59760.95633066,1101.74743144759
23116,35180195,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,239759.99610271,2579.30765857019
23117,35180196,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,70081.876268355,1299.40689494456
23118,35180197,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,57238.33236789,1261.8757182332
23119,35180198,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,83150.128392055,1428.87247075291
23120,35180199,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,190342.63895817,2565.8825155149
23121,35180200,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.01,0012.01,35180037,183092.413319035,1986.1568874448
23122,35180201,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.02,0012.02,35182005,161536.063014375,1781.39947530709
23123,35180445,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.07,0804.07,35180071,320460.10251904,2690.20711005822
23124,35180205,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.02,0012.02,35182005,173877.780802695,1804.2024926908
23125,35180206,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320012.02,0012.02,35182005,212077.75820586,1845.27041096596
23126,35180207,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,265464.739960865,2550.62325111575
23127,35180208,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,67823.941414715,1342.95466953414
23128,35180209,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,76180.1637993,1099.44091284007
23129,35180210,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,437254.17269409,4421.40072208991
23130,35180211,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,157816.92965008,2020.93248127699
23131,35180212,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,110544.82279309,1570.69652092915
23132,35180213,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,479282.224992305,3825.89678339035
23133,35180214,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,80481.781673175,1210.74972164555
23134,35180215,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.02,0003.02,35180038,209212.91902152,2272.20732938674
23135,35180216,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.01,0003.01,35180043,160523.778890135,3407.23381526539
23136,35181017,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,293671.57708767,2591.86590424565
23137,35180365,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350812.00,0812.00,35180066,194830.78861774,2635.40079489408
23138,35180366,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350812.00,0812.00,35180066,200758.221100355,2885.7667282643
23139,35180367,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350812.00,0812.00,35180066,32640.320673205,735.873919645525
23140,35180368,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,216379.00635271,2491.40657173536
23141,35180369,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,71444.435620535,1535.85609167874
23142,35180370,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,56662.28315787,934.430586143203
23143,35180371,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,116795.55610143,1715.4707220648
23144,35180372,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,180785.97067963,2467.34820082905
23145,35180373,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,140466.6659147,1660.44234509844
23146,35180374,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,55567.49706834,971.841579366545
23147,35180375,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.06,0805.06,35180060,252978.021939905,2506.71925234486
23148,35180380,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350820.03,0820.03,35180062,160785.15879378,2650.41796011338
23149,35180642,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.02,0008.02,35180034,168712.25391959,1884.69891927344
23150,35181018,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,110913.334439385,1668.52416290162
23151,35181019,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,3728413.88471796,9722.7927878859
23152,35181020,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,73165.682672075,1120.81681772499
23153,35181021,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,185552.778483395,2097.61910503964
23154,35181022,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,146132.469704975,1590.73371065103
23155,35181023,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,93708.030703535,1703.01400016348
23156,35181024,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320100.01,0100.01,35180054,3235324.89085206,8779.25996791355
23157,35181030,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320201.01,0201.01,35180012,263687.03267588,3702.76126797684
23158,35181032,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320201.01,0201.01,35180012,3386200.52617275,12775.996098696
23159,35181034,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320201.02,0201.02,35180012,192236.145733935,3068.33205064787
23160,35180446,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.07,0804.07,35180071,55640.90183993,1305.09206756948
